Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
4.0,V2I,0.5,0.0,1.0,85.64079693697391,100.0,20.0
20.0,V2I,0.625,0.0,1.0,16.31532228791482,100.0,9.375
21.0,V2I,0.5,0.0,1.0,16.03102847537359,100.0,14.705882352941178
22.0,V2I,0.5,0.0,1.0,17.546685867219736,100.0,19.444444444444446
23.0,V2I,0.5,0.0,1.0,18.879240806032037,100.0,23.684210526315788
24.0,V2I,0.5,0.0,1.0,21.276765499836905,100.0,27.500000000000004
25.0,V2I,0.5,0.0,1.0,25.9260610358079,100.0,30.952380952380953
26.0,V2I,0.625,0.0,1.0,32.05968143689686,100.0,34.090909090909086
27.0,V2I,0.5,0.0,1.0,39.076926384440306,100.0,36.95652173913043
28.0,V2I,0.75,50.0,1.0,47.086959610182916,100.0,39.58333333333333
29.0,V2I,0.5,0.0,1.0,53.13957188386071,100.0,40.0
30.0,V2I,0.5,0.0,1.0,65.38542757655985,100.0,42.30769230769231
31.0,V2I,0.5,0.0,1.0,74.99904024288128,100.0,44.44444444444444
32.0,V2I,0.5,0.0,1.0,84.67419248164575,100.0,46.42857142857143
33.0,V2I,0.625,0.0,1.0,46.31264980816499,100.0,48.275862068965516
34.0,V2I,0.5,0.0,1.0,45.073741805919255,100.0,50.0
35.0,V2I,0.625,0.0,1.0,50.09509009208425,100.0,51.61290322580645
36.0,V2I,0.5,0.0,1.0,58.08819997600542,100.0,53.125
37.0,V2I,0.5,0.0,1.0,67.03328606428997,100.0,54.54545454545454
38.0,V2I,0.5,0.0,1.0,49.313577237916945,100.0,55.223880597014926
39.0,V2I,0.5,0.0,1.0,60.854281689951776,100.0,55.072463768115945
40.0,V2I,0.625,0.0,1.0,82.59612083200064,100.0,56.33802816901409
42.0,V2I,0.5,0.0,1.0,97.89177697845719,100.0,54.666666666666664
43.0,V2I,0.5,0.0,1.0,49.568020573854916,100.0,55.84415584415584
44.0,V2I,0.5,0.0,1.0,51.40765504375018,100.0,56.9620253164557
45.0,V2I,0.625,0.0,1.0,53.46466788149399,100.0,58.0246913580247
46.0,V2I,0.5,0.0,1.0,56.01712001435371,100.0,59.036144578313255
47.0,V2I,0.5,0.0,1.0,58.66371000857494,100.0,60.0
48.0,V2I,0.5,0.0,1.0,63.760301912710545,100.0,59.77011494252874
49.0,V2I,0.625,0.0,1.0,63.848786528236914,100.0,60.67415730337079
50.0,V2I,0.5,0.0,1.0,69.88017706623108,100.0,61.53846153846154
51.0,V2I,0.5,0.0,1.0,66.44173829573856,100.0,62.365591397849464
52.0,V2I,0.5,0.0,1.0,62.703334563397746,100.0,63.1578947368421
53.0,V2I,0.625,0.0,1.0,58.56504305465226,100.0,63.91752577319587
54.0,V2I,0.5,0.0,1.0,54.183802884963534,100.0,64.64646464646465
55.0,V2I,0.5,0.0,1.0,49.30224083893802,100.0,65.34653465346535
56.0,V2I,0.5,0.0,1.0,44.64737067148567,100.0,66.01941747572816
57.0,V2I,0.5,0.0,1.0,40.50174907890579,100.0,66.66666666666666
58.0,V2I,0.5,0.0,1.0,37.5961173268018,100.0,67.28971962616822
